company,color,r,g,b
chanel,/chanel/makeup/lepper/leppestift/chanel-colour-shine-intensity-in-a-flash-116-easy,199,143,127
chanel,/chanel/makeup/lepper/leppestift/chanel-colour-shine-intensity-in-a-flash-82-live,208,77,91
chanel,/chanel/makeup/lepper/leppestift/chanel-colour-shine-intensity-in-a-flash-91-boheme,237,50,86
chanel,/chanel/makeup/lepper/leppestift/chanel-ultra-hydrating-lip-colour-434-mademoiselle,173,85,84
chanel,/chanel/makeup/lepper/leppestift/chanel-hydrating-and-plumping-lipstick.-intense-long-lasting-colour-and-shine-154-kind,197,117,112
chanel,/chanel/makeup/lepper/leppestift/chanel-hydrating-and-plumping-lipstick.-intense-long-lasting-colour-and-shine-160-wild,197,117,112
chanel,/chanel/makeup/lepper/leppestift/chanel-hydrating-and-plumping-lipstick.-intense-long-lasting-colour-and-shine-116-dream,202,123,121
chanel,/chanel/makeup/lepper/leppestift/chanel-hydrating-and-plumping-lipstick.-intense-long-lasting-colour-and-shine-122-zenith,211,95,103
chanel,/chanel/makeup/lepper/leppestift/chanel-colour-shine-intensity-in-a-flash-54-boy,222,154,133
chanel,/chanel/makeup/lepper/leppestift/chanel-high-intensity-lip-colour.-concentrated-radiance-and-care.-refillable-917-rose-boreal,0,0,0
chanel,/chanel/makeup/lepper/leppestift/chanel-ultra-hydrating-lip-colour-412-teheran,219,95,85
chanel,/chanel/makeup/lepper/leppestift/chanel-ultra-hydrating-lip-colour-416-coco,218,74,47
chanel,/chanel/makeup/lepper/leppestift/chanel-ultra-hydrating-lip-colour-424-edith,218,96,109
chanel,/chanel/makeup/lepper/leppestift/chanel-luminous-intense-lip-colour-191-rouge-brulant,198,87,94
chanel,/chanel/makeup/lepper/leppestift/chanel-limited-edition-luminous-matte-lip-colour-0400,160,53,83
chanel,/chanel/makeup/lepper/leppestift/chanel-high-intensity-lip-colour-concentrated-radiance-and-care-refillable-868,138,33,46
chanel,/chanel/makeup/lepper/leppestift/chanel-high-intensity-lip-colour-concentrated-radiance-and-care-867-roaring-purple,249,242,240
chanel,/chanel/makeup/lepper/leppestift/chanel-ultrawear-shine-liquid-lip-colour-95-spell,116,23,33
chanel,/chanel/makeup/lepper/leppestift/chanel-high-intensity-lip-colour-concentrated-radiance-and-care-812-beige-brut,249,242,240
chanel,/chanel/makeup/lepper/leppestift/chanel-high-intensity-lip-colour-concentrated-radiance-and-care-854-rouge-puissant,249,242,240
chanel,/chanel/makeup/lepper/leppestift/chanel-high-intensity-lip-colour-concentrated-radiance-and-care-857-midnight-red,249,242,240
chanel,/chanel/makeup/lepper/leppestift/chanel-a-hydrating-tinted-lip-balm-that-offers-buildable-colour-for-better-looking-lips-day-after-day-936,0,0,0
chanel,/chanel/makeup/lepper/leppestift/chanel-a-hydrating-tinted-lip-balm-that-offers-buildable-colour-for-better-looking-lips-day-after-day-938,0,0,0
chanel,/chanel/makeup/lepper/leppestift/chanel-high-intensity-lip-colour-concentrated-radiance-and-care-refillable-812,192,119,105
chanel,/chanel/makeup/lepper/leppestift/chanel-high-intensity-lip-colour-concentrated-radiance-and-care-refillable-822,168,68,83
chanel,/chanel/makeup/lepper/leppestift/chanel-high-intensity-lip-colour-concentrated-radiance-and-care-refillable-818,167,74,79
chanel,/chanel/makeup/lepper/flytende-leppestift/chanel-ultrawear-shine-liquid-lip-colour-63-ultimate,142,79,82
chanel,/chanel/makeup/lepper/leppestift/chanel-luminous-intense-lip-colour-96-excentrique,253,68,29
chanel,/chanel/makeup/lepper/leppestift/chanel-luminous-intense-lip-colour-104-passion,160,0,0
chanel,/chanel/makeup/lepper/leppestift/chanel-luminous-intense-lip-colour-109-rouge-noir,60,8,11
chanel,/chanel/makeup/lepper/flytende-leppestift/chanel-luminous-matte-lip-colour-58-rouge-vie,129,47,49
chanel,/chanel/makeup/lepper/leppestift/chanel-limited-edition-luminous-matte-lip-colour-0.0416666666666667,237,121,130
chanel,/chanel/makeup/lepper/leppestift/chanel-limited-edition-luminous-matte-lip-colour-0.208333333333333,158,90,91
chanel,/chanel/makeup/lepper/leppestift/chanel-limited-edition-luminous-matte-lip-colour-0000,183,66,72
chanel,/chanel/makeup/lepper/leppestift/chanel-high-intensity-lip-colour-concentrated-radiance-and-care-812,192,119,105
chanel,/chanel/makeup/lepper/leppestift/chanel-high-intensity-lip-colour-concentrated-radiance-and-care-854,167,13,26
