productType,company,brand,color,r,g,b
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-shine-intense-lipstick-bare-truth-paris-pink,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-shine-intense-lipstick-bare-truth-bare-truth,173,99,88
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-shine-intense-lipstick-bare-truth-paris-pink,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-shine-intense-lipstick-bare-truth-trailblazer,188,80,85
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-mini-43-sweet-coral,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-crushed-lip-color-mini-45-parisian-red,194,48,65
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-lipstick-afternoon-tea,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-lipstick-downtown-rose,155,78,67
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-lipstick-afternoon-tea,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-lipstick-claret,158,66,61
Lipstick,bobbi-brown,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-lipstick-afternoon-tea,/bobbi-brown/makeup/lepper/leppestift/bobbi-brown-luxe-matte-lipstick-sunset-rose,169,111,100
Lipstick,buxom,/buxom/makeup/lepper/leppestift/buxom-full-on-plumping-lipstick-satin-skin-tease,/buxom/makeup/lepper/leppestift/buxom-full-on-plumping-lipstick-satin-skin-tease,198,135,118
Lipstick,buxom,/buxom/makeup/lepper/leppestift/buxom-full-on-plumping-lipstick-satin-skin-tease,/buxom/makeup/lepper/leppestift/buxom-full-on-plumping-lipstick-satin-body-con,200,97,89
Lipstick,buxom,/buxom/makeup/lepper/leppestift/buxom-full-on-plumping-lipstick-satin-skin-tease,/buxom/makeup/lepper/leppestift/buxom-full-on-plumping-lipstick-satin-chocolatte,160,73,64
Lipstick,buxom,/buxom/makeup/lepper/leppestift/buxom-full-on-plumping-lipstick-satin-skin-tease,/buxom/makeup/lepper/leppestift/buxom-full-on-plumping-lipstick-satin-dolly-doll,183,88,88
